0xddcb80:res 0,(ix+*),b
0xddcb81:res 0,(ix+*),c
0xddcb82:res 0,(ix+*),d
0xddcb83:res 0,(ix+*),e
0xddcb84:res 0,(ix+*),h
0xddcb85:res 0,(ix+*),l
0xddcb86:res 0,(ix+*)
0xddcb87:res 0,(ix+*),a
0xddcb88:res 1,(ix+*),b
0xddcb89:res 1,(ix+*),c
0xddcb8a:res 1,(ix+*),d
0xddcb8b:res 1,(ix+*),e
0xddcb8c:res 1,(ix+*),h
0xddcb8d:res 1,(ix+*),l
0xddcb8e:res 1,(ix+*)
0xddcb8f:res 1,(ix+*),a
0xddcb90:res 2,(ix+*),b
0xddcb91:res 2,(ix+*),c
0xddcb92:res 2,(ix+*),d
0xddcb93:res 2,(ix+*),e
0xddcb94:res 2,(ix+*),h
0xddcb95:res 2,(ix+*),l
0xddcb96:res 2,(ix+*)
0xddcb97:res 2,(ix+*),a
0xddcb98:res 3,(ix+*),b
0xddcb99:res 3,(ix+*),c
0xddcb9a:res 3,(ix+*),d
0xddcb9b:res 3,(ix+*),e
0xddcb9c:res 3,(ix+*),h
0xddcb9d:res 3,(ix+*),l
0xddcb9e:res 3,(ix+*)
0xddcb9f:res 3,(ix+*),a
0xddcba0:res 4,(ix+*),b
0xddcba1:res 4,(ix+*),c
0xddcba2:res 4,(ix+*),d
0xddcba3:res 4,(ix+*),e
0xddcba4:res 4,(ix+*),h
0xddcba5:res 4,(ix+*),l
0xddcba6:res 4,(ix+*)
0xddcba7:res 4,(ix+*),a
0xddcba8:res 5,(ix+*),b
0xddcba9:res 5,(ix+*),c
0xddcbaa:res 5,(ix+*),d
0xddcbab:res 5,(ix+*),e
0xddcbac:res 5,(ix+*),h
0xddcbad:res 5,(ix+*),l
0xddcbae:res 5,(ix+*)
0xddcbaf:res 5,(ix+*),a
0xddcbb0:res 6,(ix+*),b
0xddcbb1:res 6,(ix+*),c
0xddcbb2:res 6,(ix+*),d
0xddcbb3:res 6,(ix+*),e
0xddcbb4:res 6,(ix+*),h
0xddcbb5:res 6,(ix+*),l
0xddcbb6:res 6,(ix+*)
0xddcbb7:res 6,(ix+*),a
0xddcbb8:res 7,(ix+*),b
0xddcbb9:res 7,(ix+*),c
0xddcbba:res 7,(ix+*),d
0xddcbbb:res 7,(ix+*),e
0xddcbbc:res 7,(ix+*),h
0xddcbbd:res 7,(ix+*),l
0xddcbbe:res 7,(ix+*)
0xddcbbf:res 7,(ix+*),a
0xddcbc0:set 0,(ix+*),b
0xddcbc1:set 0,(ix+*),c
0xddcbc2:set 0,(ix+*),d
0xddcbc3:set 0,(ix+*),e
0xddcbc4:set 0,(ix+*),h
0xddcbc5:set 0,(ix+*),l
0xddcbc6:set 0,(ix+*)
0xddcbc7:set 0,(ix+*),a
0xddcbc8:set 1,(ix+*),b
0xddcbc9:set 1,(ix+*),c
0xddcbca:set 1,(ix+*),d
0xddcbcb:set 1,(ix+*),e
0xddcbcc:set 1,(ix+*),h
0xddcbcd:set 1,(ix+*),l
0xddcbce:set 1,(ix+*)
0xddcbcf:set 1,(ix+*),a
0xddcbd0:set 2,(ix+*),b
0xddcbd1:set 2,(ix+*),c
0xddcbd2:set 2,(ix+*),d
0xddcbd3:set 2,(ix+*),e
0xddcbd4:set 2,(ix+*),h
